№,Language,Language (local),Wiki,Articles,Total,Edits,Admins,Users,Active Users,Files,Depth,More than 
87,Haitian,Krèyol ayisyen,ht,"67,819","81,959","802,466",3,"28,329",60,0,0,10000
88,Piedmontese,Piemontèis,pms,"66,336","101,446","855,09",4,"25,176",33,"2,069",2,10000
89,Western Punjabi,شاہ مکھی پنجابی (Shāhmukhī Pañjābī),pnb,"65,64","113,535","605,314",2,"32,182",56,225,3,10000
90,Sundanese,Basa Sunda,su,"61,26","97,328","627,142",7,"28,225",51,545,2,10000
91,Luxembourgish,Lëtzebuergesch,lb,"60,924","131,262","2,389,056",5,"54,787",69,"2,365",24,10000
92,Bashkir,Башҡорт,ba,"60,177","169,48","1,144,731",7,"35,147",82,"1,454",22,10000
93,Ladin,Lingaz,lld,"59,568","62,771","92,684",2,"2,113",15,0,0,10000
94,Irish,Gaeilge,ga,"56,832","95,158","1,053,220",7,"52,13",87,"1,116",5,10000
95,Silesian,Ślůnski,szl,"55,775","69,013","347,153",3,"21,59",43,0,0,10000
96,Icelandic,Íslenska,is,"54,534","141,038","1,755,172",19,"86,154",122,"3,217",31,10000
97,Kurdish,Kurdî / كوردی,ku,"53,791","109,001","1,089,706",3,"51,388",110,565,11,10000
98,Lombard,Lumbaart,lmo,"52,004","120,737","1,106,647",5,"37,391",46,"4,437",16,10000
99,Chuvash,Чăваш,cv,"49,445","97,355","747,65",2,"31,005",53,537,7,10000
100,West Frisian,Frysk,fy,"48,937","149,379","1,080,021",8,"43,169",78,"7,54",30,10000
101,Tagalog,Tagalog,tl,"42,86","233,137","1,949,154",11,"122,803",133,"1,897",165,10000
102,Wu,吴语,wuu,"42,553","55,363","294,074",4,"78,248",45,136,0,10000
103,Aragonese,Aragonés,an,"41,932","127,972","1,831,327",6,"67,868",85,"1,499",60,10000
104,Sorani,Soranî / کوردی,ckb,"41,913","183,349","954,922",7,"50,824",141,"1,586",59,10000
105,Scots,Scots,sco,"40,552","146,696","860,987",4,"94,368",88,690,40,10000
106,Zazaki,Zazaki,diq,"40,157","60,528","486,96",3,"24,769",26,209,2,10000
107,Punjabi,ਪੰਜਾਬੀ,pa,"38,144","133,574","605,836",9,"41,936",154,"1,568",28,10000
108,Yoruba,Yorùbá,yo,"34,224","59,088","549,716",3,"24,694",60,168,5,10000
109,Ido,Ido,io,"33,17","48,653","989,518",5,"33,451",44,0,4,10000
110,Nepali,नेपाली,ne,"32,143","103,019","1,064,352",5,"58,212",81,"1,255",50,10000
111,Bavarian,Boarisch,bar,"31,78","116,529","829,623",3,"63,081",51,"1,32",51,10000
112,Gujarati,ગુજરાતી,gu,"29,929","116,779","822,754",3,"68,427",72,0,59,10000
113,Alemannic,Alemannisch,als,"28,907","69,516","1,013,035",9,"91,879",83,571,29,10000
114,Kannada,ಕನ್ನಡ,kn,"28,25","129,592","1,101,999",3,"75,49",167,"2,591",109,10000
115,Sicilian,Sicilianu,scn,"26,204","55,685","732,618",5,"41,132",35,"1,407",17,10000
116,Bishnupriya Manipuri,ইমার ঠার/বিষ্ণুপ্রিয়া মণিপুরী,bpy,"25,085","62,806","886,412",3,"23,404",24,47,32,10000
117,Interlingua,Interlingua,ia,"23,727","37,682","641,485",6,"44,439",41,4,6,10000
118,Kotava,Kotava,avk,"23,264","28,255","108,658",6,"2,953",29,0,0,10000
119,Quechua,Qichwa simi,qu,"23,015","55,935","649,881",2,"27,049",32,0,24,10000
120,Mongolian,Монгол,mn,"21,273","97,568","703,942",3,"77,415",99,"1,475",93,10000
121,Navajo,Diné bizaad,nv,"20,505","34,65","295,828",2,"15,015",13,707,4,10000
122,Mingrelian,მარგალური (Margaluri),xmf,"19,531","36,416","184,061",3,"16,966",33,0,4,10000
123,Crimean Tatar,Qırımtatarca,crh,"19,352","38,984","175,947",2,"17,695",32,0,5,10000
124,Sinhalese,සිංහල,si,"17,927","79,185","505,058",3,"57,877",65,"3,13",74,10000
125,Samogitian,Žemaitėška,bat-smg,"17,078","29,078","355,419",5,"24,063",28,109,6,10000
126,Hausa,Hausa / هَوُسَ,ha,"16,745","29,911","157,334",4,"18,038",100,0,3,10000
127,Ossetian,Иронау,os,"15,924","59,114","521,057",3,"22,455",34,165,65,10000
128,North Frisian,Nordfrasch,frr,"15,911","40,898","229,827",5,"17,864",24,"1,323",14,10000
129,Scottish Gaelic,Gàidhlig,gd,"15,853","32,145","566,213",6,"25,482",33,347,19,10000
130,Oriya,ଓଡ଼ିଆ,or,"15,696","71,247","459,576",5,"30,904",50,125,81,10000
131,Min Dong,Mìng-dĕ̤ng-ngṳ̄,cdo,"15,527","31,204","88,942",4,"18,856",22,0,3,10000
132,Yiddish,ייִדיש,yi,"15,397","44,114","577,537",3,"45,163",57,"1,062",46,10000
133,Buginese,Basa Ugi,bug,"15,387","19,577","200,482",1,"12,197",18,0,1,10000
